Chemokine,Gene,Role
CXCR3,CXCR3,Activating
CXCR4,CXCR4,Activating
CXCL9,CXCL9,Activating
CXCL10,CXCL10,Activating
CXCL11,CXCL11,Activating
CXCL12,CXCL12,Activating
CCR5,CCR5,Activating
CCR6,CCR6,Activating
CCL4,CCL4,Activating
CCL5,CCL5,Activating
CCL20,CCL20,Activating
CCR4,CCR4,Suppressive
CCL17,CCL17,Suppressive
CCL22,CCL22,Suppressive
CCL2,CCL2,Suppressive
CCL5,CCL5,Suppressive
CCR2,CCR2,Suppressive
CCR5,CCR5,Suppressive
CXCR1,CXCR1,Suppressive
CXCR2,CXCR2,Suppressive
CXCL5,CXCL5,Suppressive
CXCL2,CXCL2,Suppressive
CXCL6,CXCL6,Suppressive